iter	AUC	CrossEntropy	Accuracy
236	0.7679830252	0.4642011426	0.7885414389
237	0.7681890278	0.464090226	0.788705445
238	0.7684202689	0.4639328601	0.788705445
239	0.7684458011	0.4639212064	0.7885414389
240	0.7687608985	0.4637274631	0.7888147824
241	0.7690119616	0.4635656854	0.788705445
242	0.7690111622	0.4635646498	0.7886507763
243	0.7690206083	0.4635586153	0.788705445
244	0.7690509369	0.4635401048	0.7886507763
245	0.7690566632	0.4635365098	0.7887601137
246	0.7690634501	0.4635337777	0.7886507763
247	0.7691703261	0.4634614	0.7886507763
248	0.7691934436	0.4634516463	0.7885961076
249	0.7692159739	0.4634405798	0.7884867702
250	0.7692777078	0.4634074229	0.788705445
251	0.769342933	0.4633599	0.7886507763
252	0.7693489041	0.4633540754	0.7886507763
253	0.76945007	0.4632979807	0.7888694511
254	0.7694669881	0.4632859746	0.7888147824
255	0.7695572397	0.4632400182	0.7889241198
256	0.7695974711	0.463220855	0.7888694511
257	0.7697025689	0.4631568393	0.7888147824
258	0.7697704859	0.4630856006	0.7889241198
259	0.769783978	0.4630788102	0.7888694511
260	0.7699712843	0.4629744919	0.7890334572
261	0.7702379604	0.4628120364	0.7889241198
262	0.7702555963	0.4628023729	0.7889241198
263	0.7704021817	0.4627235253	0.7889241198
264	0.7704731169	0.4626736081	0.7889241198
265	0.7705041307	0.4626562167	0.7889787885
266	0.770688843	0.462564486	0.7887601137
267	0.7707013236	0.4625554709	0.7888694511
268	0.7709331683	0.4624274162	0.7889787885
269	0.7710019174	0.4623876944	0.7888694511
270	0.7710896729	0.4623375187	0.7889241198
271	0.7713249599	0.4621803169	0.7891974634
272	0.7713474739	0.4621678422	0.7891974634
273	0.7717979323	0.4618813208	0.7895801443
274	0.7718241497	0.4618674116	0.7895801443
275	0.7718489476	0.4618543312	0.789634813
276	0.7718596662	0.4618398436	0.7895801443
277	0.7718481809	0.4618297356	0.7896894817
278	0.7718928499	0.4618067686	0.7896894817
279	0.772025568	0.461733661	0.7897441504
280	0.7722883123	0.4615782982	0.7896894817
281	0.7726360386	0.4613553484	0.789634813
282	0.7726869723	0.4613266351	0.7895254756
283	0.7727431104	0.4612961697	0.7895801443
284	0.7731431734	0.4610802811	0.7897441504
285	0.7731497808	0.4610783793	0.7897988192
286	0.773205201	0.4610478724	0.7897988192
287	0.7732280576	0.4610348955	0.7898534879
288	0.7732540139	0.461012205	0.7897441504
289	0.7734052489	0.4609365897	0.7897988192
290	0.7735270526	0.4608520395	0.7899628253
291	0.7736613532	0.4607777687	0.7899081566
292	0.7736778961	0.4607683408	0.7898534879
293	0.7736779124	0.4607683116	0.7898534879
294	0.7739355992	0.4605912871	0.790017494
295	0.7739264468	0.460589926	0.790017494
296	0.7741836116	0.4604457087	0.7901815001
297	0.7741890443	0.4604416364	0.7901815001
298	0.7741989798	0.4604358902	0.7901815001
299	0.7742300751	0.4604211483	0.7900721627
300	0.7742586744	0.4604046001	0.7900721627
301	0.7742672395	0.4604009486	0.790017494
302	0.774469294	0.4602784273	0.7901815001
303	0.7746081463	0.4601885926	0.7901815001
304	0.7746560945	0.4601629003	0.7901268314
305	0.7748495513	0.4600325697	0.7900721627
306	0.7748593727	0.4600270129	0.7901815001
307	0.7750824239	0.4598986436	0.7901268314
308	0.7752252896	0.4598177372	0.7901268314
309	0.7752500712	0.4598059608	0.7901815001
310	0.7752498265	0.459805918	0.7901815001
311	0.7754619634	0.4596749057	0.7901815001
312	0.7756166734	0.4595847305	0.7903455062
313	0.7756701359	0.4595547703	0.7904001749
314	0.7757216243	0.4595303124	0.7903455062
315	0.7757432083	0.4595190775	0.7904001749
316	0.7757773382	0.4595012737	0.7904001749
317	0.775911965	0.4594195339	0.7903455062
318	0.7759126502	0.4594193084	0.7903455062
319	0.7760780136	0.4593278717	0.7903455062
320	0.7760926476	0.459316582	0.7904001749
321	0.7761987406	0.4592578051	0.7904001749
322	0.7762007309	0.4592570359	0.7904001749
323	0.7764115789	0.4590627107	0.7902908375
324	0.7765032336	0.4590090951	0.7904001749
325	0.7765369229	0.4589865447	0.7902361688
326	0.7765341005	0.4589859504	0.7903455062
327	0.7765814614	0.4589565258	0.7901815001
328	0.7767386838	0.4588538213	0.7904001749
329	0.7767495329	0.4588486986	0.7904001749
330	0.7768988265	0.4587673486	0.7902361688
331	0.7769665967	0.4587067708	0.7904548436
332	0.7770597686	0.4586506013	0.7902908375
333	0.7771293824	0.4585933129	0.7902908375
334	0.7771939061	0.4585592115	0.7903455062
335	0.7773960911	0.4584333328	0.7906188498
336	0.7774498146	0.4584050401	0.7907828559
337	0.7774679073	0.4583960722	0.7906735185
338	0.7776198439	0.458302758	0.7907281872
339	0.7777543566	0.4582375511	0.7906188498
340	0.777948107	0.4581230424	0.7906735185
341	0.7779854671	0.4580987029	0.7906735185
342	0.7780297935	0.4580753272	0.7906188498
343	0.7780739404	0.4580512848	0.7907281872
344	0.7780911685	0.4580403604	0.7906735185
345	0.7782841359	0.4579293603	0.7905095124
346	0.7783290006	0.4579092412	0.7905095124
347	0.7784693865	0.4578294214	0.7904548436
348	0.7786644259	0.4577182904	0.7906735185
349	0.7786800877	0.4577115614	0.7906735185
350	0.7787854791	0.4576329344	0.7905641811
351	0.7788258248	0.4576084623	0.7906735185
352	0.7789686905	0.4575223784	0.7907828559
353	0.7789985622	0.4575056753	0.7906188498
354	0.7791565841	0.4574018854	0.7908375246
355	0.7792194273	0.4573543093	0.7907281872
356	0.7792510774	0.4573348358	0.7907281872
357	0.7794364912	0.4572086207	0.7912202056
358	0.7794572921	0.4572002186	0.7911655368
359	0.7795424046	0.4571530545	0.7912748743
360	0.7797044398	0.4570561874	0.7912748743
361	0.7798628695	0.456965537	0.7916028865
362	0.7798691506	0.4569617981	0.7915482178
363	0.7798929697	0.4569473973	0.7917122239
364	0.7801593521	0.4567932089	0.7917668926
365	0.7801967285	0.4567705487	0.7917122239
366	0.7802248057	0.4567566922	0.7917668926
367	0.7802640909	0.4567333271	0.7916575552
368	0.7802743038	0.4567234839	0.7915482178
369	0.7805617318	0.4565578375	0.7917668926
370	0.7805939529	0.4565406052	0.7917122239
371	0.7807683871	0.4564286745	0.7918215613
372	0.7810017164	0.4563030672	0.79187623
373	0.7811824316	0.4561827196	0.7919855675
374	0.7813640115	0.4560748507	0.7920402362
375	0.7814037699	0.4560056506	0.7920949049
376	0.7814050261	0.4560030829	0.7920949049
377	0.7814083053	0.4559995363	0.7920949049
378	0.7814754556	0.4559548035	0.7920402362
379	0.7817681696	0.4557750376	0.7922042423
380	0.7819485911	0.4556508555	0.7921495736
381	0.7820715858	0.455573248	0.7922042423
382	0.7822564612	0.4554511382	0.7923682484
383	0.7825364825	0.4552741182	0.7921495736
384	0.7825383913	0.4552735238	0.7921495736
385	0.7826261794	0.4552111127	0.7922042423
386	0.7826449737	0.4552006008	0.7922042423
387	0.7827497777	0.4551426305	0.792258911
388	0.7827536606	0.4551397211	0.7922042423
389	0.7829237551	0.4550459926	0.7921495736
390	0.782983776	0.4549912679	0.7920949049
391	0.7829947556	0.4549877596	0.7922042423
392	0.7831315197	0.4549068268	0.792258911
393	0.7831822903	0.454851786	0.7923682484
394	0.7832453294	0.4548165709	0.7924775858
395	0.7832463735	0.4548159062	0.7924229171
396	0.7833409321	0.4547626513	0.7923682484
397	0.7833908217	0.4547436495	0.7924229171
398	0.7834152444	0.4547277549	0.7924229171
399	0.783588455	0.4546234067	0.7925322545
400	0.7836257335	0.454603623	0.7925322545
401	0.7837139132	0.4545427023	0.7925322545
402	0.7838140839	0.4544820849	0.7925322545
403	0.7838488663	0.4544640231	0.7925869232
404	0.7839428702	0.4543557811	0.7925869232
405	0.7840484411	0.4542886115	0.7925322545
406	0.78409342	0.4542614814	0.7925869232
407	0.7841777821	0.4542080378	0.7925869232
408	0.7841972942	0.4541993625	0.7925869232
409	0.7842156153	0.4541898269	0.7926962607
410	0.7844250929	0.4540741889	0.7928602668
411	0.78443511	0.4540680133	0.7929149355
412	0.784784843	0.4538669197	0.7926962607
413	0.7849374321	0.4537661578	0.7928602668
414	0.7851498953	0.4536494786	0.7927509294
415	0.7854060322	0.4534932043	0.7925322545
416	0.7854708659	0.4534598125	0.7927509294
417	0.785538473	0.4534217762	0.7930242729
418	0.7855283417	0.453411868	0.7930789416
419	0.7856298339	0.453358466	0.7929149355
420	0.7856553661	0.4533438955	0.7928602668
421	0.7856812734	0.4533306153	0.7930789416
422	0.7856815997	0.4533305491	0.7930789416
423	0.7857343117	0.4532985536	0.7930242729
424	0.785734377	0.4532984902	0.7930242729
425	0.7860329641	0.4531169368	0.7927509294
426	0.7862329467	0.452975218	0.7930789416
427	0.7863039962	0.4529286852	0.7929696042
428	0.7863399859	0.4529048315	0.7931336103
429	0.7864281329	0.4528318447	0.7931336103
430	0.7864375463	0.4528247051	0.7931336103
431	0.7864372853	0.452824392	0.7931336103
432	0.7864495701	0.4528236577	0.7930789416
433	0.7864562264	0.4528204397	0.7930789416
434	0.7867068817	0.4526567052	0.7932429477
435	0.7866728334	0.4526511465	0.7934616226
436	0.7867527743	0.4526112211	0.7933522852
437	0.7867723679	0.4526031057	0.7933522852
438	0.7868129909	0.4525812752	0.7933522852
439	0.7868479039	0.4525648173	0.7934069539
440	0.7868747901	0.4525562719	0.7934616226
441	0.7869069948	0.4525367684	0.7933522852
442	0.7869447465	0.4525171803	0.7933522852
443	0.7870666481	0.4524245593	0.7934069539
444	0.787104775	0.4524027986	0.7935162913
445	0.7872538401	0.4523146036	0.7934616226
446	0.7872861265	0.452299165	0.7934616226
447	0.7874330055	0.4522037783	0.7935162913
448	0.7874860275	0.4521784062	0.7935162913
449	0.7875309412	0.4521517895	0.7934616226
450	0.7876217964	0.4521006393	0.7934069539
451	0.7876471327	0.4520839042	0.7934069539
452	0.7876487479	0.4520815388	0.7934616226
453	0.7878288595	0.4519758007	0.79357096
454	0.7878553052	0.4519595875	0.7936802974
455	0.7880290868	0.4518534354	0.7938443035
456	0.7882226741	0.4517488171	0.7937349661
457	0.7882927447	0.4517084581	0.7936802974
458	0.7884447302	0.4516189041	0.7938443035
459	0.788719172	0.4514709291	0.7941176471
460	0.7887668265	0.4513993076	0.7941176471
461	0.7887744127	0.4513919913	0.7941723158
462	0.7888282015	0.4513628744	0.7941723158
463	0.7888318559	0.4513396192	0.7942816532
464	0.789109789	0.4512084197	0.7937896348
465	0.7890905135	0.4511512509	0.7937349661
466	0.7892522713	0.4510313485	0.7939536409
467	0.7892738879	0.4510217331	0.7938989722
468	0.7892769877	0.4510201819	0.7938989722
469	0.7893341209	0.4510132128	0.7939536409
470	0.7893555907	0.4509995684	0.7941176471
471	0.7894083517	0.4509491588	0.7942269845
472	0.7894074544	0.4509440798	0.7942269845
473	0.7897511837	0.4507115576	0.794883009
474	0.7897653609	0.4507023018	0.7949376777
475	0.7897914641	0.4506844117	0.7947736716
476	0.78980879	0.4506699159	0.7947190028
477	0.7898460359	0.4506577326	0.7947190028
478	0.789854911	0.4506483412	0.7947190028
479	0.7899907125	0.4505238142	0.7951016838
480	0.7900018227	0.4505154752	0.7951016838
481	0.7900088705	0.4505077332	0.7951016838
482	0.7900064233	0.4505054515	0.7950470151
483	0.7901455367	0.4504422296	0.7952110212
484	0.7903341807	0.4503297015	0.7951563525
485	0.7904893639	0.4502223355	0.7952110212
486	0.7905358601	0.4502021863	0.7951016838
487	0.7905541975	0.4501849432	0.7951016838
488	0.7905695005	0.450175627	0.7951016838
489	0.790570153	0.4501748155	0.7951563525
490	0.7906350846	0.4501132617	0.7951563525
491	0.7906915652	0.4500795282	0.7951563525
492	0.7906927072	0.4500774467	0.7951563525
493	0.7907230195	0.450062465	0.7952656899
494	0.7907647029	0.4500071208	0.7952656899
